cosine	jaccard	channels	band	theme_a	theme_b	name_a	name_b	freq_a	freq_b
0.7801	0.3333	dense+lexical	drop	limiti_del_potere	limiti_della_scrittura	Limiti del potere	Limiti della scrittura	1	1
0.7787	0.5000	dense+lexical	drop	diplomazia	diplomazia_e_pace	Diplomazia	Diplomazia e pace	1	1
0.7764	0.3333	dense+lexical	drop	cultura_e_memoria	memoria_e_lutto	Cultura e memoria	Memoria e lutto	1	1
0.7757	0.3333	dense+lexical	drop	amore_e_colpa	colpa_e_responsabilita	Amore e colpa	Colpa e responsabilità	1	1
0.7757	0.3333	dense+lexical	drop	diplomazia_e_pace	politica_di_pace	Diplomazia e pace	Politica di pace	1	1
0.7742	0.3333	dense+lexical	drop	diritto_e_giustizia	diritto_e_riforma	Diritto e giustizia	Diritto e riforma	1	1
0.7741	0.3333	dense+lexical	drop	lutto_per_antinoo	memoria_e_lutto	Il lutto	Memoria e lutto	9	1
0.7741	0.3333	dense+lexical	drop	lutto_per_antinoo__theme	memoria_e_lutto	Il lutto	Memoria e lutto	9	1
0.7740	0.3333	dense+lexical	drop	piacere_e_adulazione	piacere_e_distrazione	Piacere e adulazione	Piacere e distrazione	1	1
0.7740	0.3333	dense+lexical	drop	memoria_e_identita	memoria_e_infanzia	Memoria e identità	Memoria e infanzia	1	1
0.7725	0.3333	dense+lexical	drop	amore_e_colpa	colpa_e_intenzione	Amore e colpa	Colpa e intenzione	1	1
0.7724		dense	drop	morte_e_potere	potere_e_violenza_politica	Morte e potere	Potere e violenza politica	1	1
0.7707	0.5000	dense+lexical	drop	corpo	corpo_e_malattia	Il corpo	Corpo e malattia	1	2
0.7701	0.3333	dense+lexical	drop	ellenismo	ellenismo_e_unita_greca	Ellenismo	Ellenismo e unità greca	3	1
0.7691	0.5000	dense+lexical	drop	coraggio	frivolezza_come_coraggio	Il coraggio	Frivolezza come coraggio	1	1
0.7686	0.5000	dense+lexical	drop	ellenismo	ellenismo_e_romanita	Ellenismo	Ellenismo e romanità	3	1
0.7677		dense	drop	ellenismo	ellenizzazione_di_adriano	Ellenismo	Ellenizzazione	3	1
0.7669	0.3333	dense+lexical	drop	memoria_e_immortalita	memoria_e_oblio	Memoria e immortalità	Memoria e oblio	6	1
0.7663	0.3333	dense+lexical	drop	immortalita_e_morte	memoria_e_immortalita	Immortalità e morte	Memoria e immortalità	1	6
0.7653		dense	drop	autoconoscenza_prima_della_morte	morte_propria	Autoconoscenza e morte	La propria morte	1	1
0.7652		dense	drop	rivalita_con_serviano	rivalita_e_umiliazione	Rivalità e odio politico	Rivalità e umiliazione	1	1
0.7646	0.5000	dense+lexical	drop	limiti_del_potere	potere	Limiti del potere	Il potere	1	1
0.7646	0.3333	dense+lexical	drop	diplomazia_e_pace	pace_e_commercio	Diplomazia e pace	Pace e commercio	1	1
0.7630	0.3333	dense+lexical	drop	amore_eroico	amore_erotico	Amore eroico	Amore erotico	3	1
0.7596		dense	drop	ellenismo_e_romanita	ellenismo_e_unita_greca	Ellenismo e romanità	Ellenismo e unità greca	1	1
0.7583		dense	drop	magia_e_morte_rituale	magia_e_pratiche_proibite	Magia e morte rituale	Magia e pratiche proibite	1	1
0.7572	0.3333	dense+lexical	drop	conformismo_e_identita	formazione_e_identita	Conformismo e identità	Formazione e identità	1	1
0.7567	0.3333	dense+lexical	drop	corpo_e_malattia	corpo_e_spirito	Corpo e malattia	Corpo e spirito	2	1
0.7557		dense	drop	ordine_esteriore_e_interiore	ordine_nello_stato	Ordine esteriore e interiore	Ordine e disciplina	1	1
0.7552	0.5000	dense+lexical	drop	corpo	corpo_e_spirito	Il corpo	Corpo e spirito	1	1
0.7548	0.3333	dense+lexical	drop	diplomazia_e_pace	pace_e_guerra	Diplomazia e pace	Pace e guerra	1	1
0.7542	0.5000	dense+lexical	drop	amore_e_potere	potere	Amore e potere	Il potere	1	1
0.7538	0.3333	dense+lexical	drop	amore_e_colpa	amore_e_potere	Amore e colpa	Amore e potere	1	1
0.7529		dense	drop	morte_propria	suicidio	La propria morte	Il suicidio	1	1
0.7525	0.3333	dense+lexical	drop	continuita_e_rinnovamento	continuita_umana	Continuità e rinnovamento	Continuità umana	1	1
0.7522		dense	drop	antipatia_di_traiano_verso_adriano	matrimonio_e_antipatia	Antipatia e diffidenza	Matrimonio e antipatia	1	1
0.7522		dense	drop	architettura_come_collaborazione_col_tempo	architettura_e_cosmo	Architettura e tempo	Architettura e cosmo	1	1
0.7510	0.3333	dense+lexical	drop	amore_e_colpa	amore_e_volutta	Amore e colpa	Amore e voluttà	1	1
0.7507	0.5000	dense+lexical	drop	rinuncia	rinuncia_e_austerita	Rinuncia	Rinuncia e austerità	1	1
0.7489	0.3333	dense+lexical	drop	amore_e_potere	amore_e_volutta	Amore e potere	Amore e voluttà	1	1
0.7487	0.3333	dense+lexical	drop	memoria_e_identita	memoria_e_immortalita	Memoria e identità	Memoria e immortalità	1	6
0.7481		dense	drop	amicizia_e_fedelta	discrezione_dell_entourage	Amicizia e fedeltà	Discrezione e fedeltà dell'entourage	1	1
0.7476	0.3333	dense+lexical	drop	potere	potere_e_violenza_politica	Il potere	Potere e violenza politica	1	1
0.7472		dense	drop	potere_e_percezione_pubblica	potere_e_violenza_politica	Potere e percezione pubblica	Potere e violenza politica	1	1
0.7470	0.3333	dense+lexical	drop	conoscenza_e_metodo	contatto_e_conoscenza	Conoscenza e metodo	Contatto e conoscenza	1	1
0.7469		dense	drop	amore_e_perdita	lutto_e_dolore	Amore e perdita	Lutto e dolore	1	1
0.7469	0.3333	dense+lexical	drop	cultura_e_memoria	memoria_e_identita	Cultura e memoria	Memoria e identità	1	1
0.7467	0.3333	dense+lexical	drop	memoria_e_identita	memoria_e_oblio	Memoria e identità	Memoria e oblio	1	1
0.7464	0.3333	dense+lexical	drop	corpo_e_anima	corpo_e_malattia	Corpo e anima	Corpo e malattia	1	2
0.7464		dense	drop	lutto_per_antinoo	lutto_per_plotina	Il lutto	Lutto e intimità spirituale	9	1
0.7464		dense	drop	lutto_per_antinoo__theme	lutto_per_plotina	Il lutto	Lutto e intimità spirituale	9	1
0.7460	0.5000	dense+lexical	drop	immortalita	immortalita_poetica	Immortalità	Immortalità poetica	3	1
0.7458		dense	drop	memoria_e_confronto_con_i_morti	memoria_e_lutto	Memoria e confronto con i morti	Memoria e lutto	1	1
0.7442		dense	drop	lutto_e_dolore	lutto_per_plotina	Lutto e dolore	Lutto e intimità spirituale	1	1
0.7442	0.3333	dense+lexical	drop	cultura_e_memoria	memoria_e_immortalita	Cultura e memoria	Memoria e immortalità	1	6
0.7437		dense	drop	insonnia	sonno	L'insonnia	Il sonno	1	3
0.7435	0.3333	dense+lexical	drop	immortalita_e_morte	morte_e_dissoluzione	Immortalità e morte	Morte e dissoluzione	1	1
0.7435		dense	drop	disciplina	ordine_esteriore_e_interiore	Disciplina e ordine	Ordine esteriore e interiore	1	1
0.7425	0.5000	dense+lexical	drop	morte_e_potere	potere	Morte e potere	Il potere	1	1
0.7418	0.3333	dense+lexical	drop	limiti_del_potere	potere_e_moderazione	Limiti del potere	Potere e moderazione	1	1
0.7415	0.3333	dense+lexical	drop	accettazione_di_se_stessi	accettazione_stoica	Accettazione di sé	Accettazione stoica	1	1
0.7415	0.3333	dense+lexical	drop	amore_e_colpa	colpa_e_ingratitudine	Amore e colpa	Colpa e ingratitudine	1	1
0.7407	0.5000	dense+lexical	drop	potere	provvidenza_e_potere	Il potere	Provvidenza e potere	1	1
0.7403	0.3333	dense+lexical	drop	solitudine_del_rispetto	solitudine_della_morte	Solitudine del rispetto	Solitudine della morte	1	1
0.7401	0.3333	dense+lexical	drop	amicizia_con_plotina	amicizia_intellettuale	Amicizia	Amicizia intellettuale	1	1
0.7400	0.3333	dense+lexical	drop	potere_e_precarietà	provvidenza_e_potere	Potere e precarietà	Provvidenza e potere	1	1
0.7394	0.3333	dense+lexical	drop	conformismo_e_identita	liberta_e_identita	Conformismo e identità	Libertà e identità	1	1
0.7393	0.3333	dense+lexical	drop	memoria_e_immortalita	memoria_e_somiglianza	Memoria e immortalità	Memoria e somiglianza	6	1
0.7393	0.3333	dense+lexical	drop	identita_e_oblio_di_se	memoria_e_identita	Identità e oblio di sé	Memoria e identità	1	1
0.7392	0.3333	dense+lexical	drop	memoria_e_oblio	memoria_e_somiglianza	Memoria e oblio	Memoria e somiglianza	1	1
0.7391		dense	drop	morte_e_desiderio_di_morire	morte_e_potere	La morte e il desiderio di morire	Morte e potere	1	1
0.7389	0.3333	dense+lexical	drop	amore_e_dipendenza	amore_e_potere	Amore e dipendenza	Amore e potere	1	1
0.7389		dense	drop	potere_e_macchina_militare	potere_e_violenza_politica	Potere e macchina militare	Potere e violenza politica	1	1
0.7363		dense	drop	diritto_e_giustizia	morte_e_risurrezione	Diritto e giustizia	Morte e risurrezione	1	1
0.7362		dense	drop	accettazione_dell_agonia	accettazione_stoica	Accettazione dell'agonia	Accettazione stoica	1	1
0.7361	0.3333	dense+lexical	drop	declino_del_potere	declino_della_civilta	Declino del potere	Declino della civiltà	1	1
0.7354	0.3333	dense+lexical	drop	caducita_delle_civilta	declino_della_civilta	Caducità delle civiltà	Declino della civiltà	1	1
0.7353		dense	drop	i_sogni	sonno	I sogni	Il sonno	1	3
0.7353		dense	drop	memoria_e_confronto_con_i_morti	memoria_e_immortalita	Memoria e confronto con i morti	Memoria e immortalità	1	6
0.7352		dense	drop	memoria_e_immortalita	memoria_e_presenza_dei_morti	Memoria e immortalità	Memoria e presenza dei morti	6	1
0.7351	0.3333	dense+lexical	drop	amore_e_colpa	amore_e_dipendenza	Amore e colpa	Amore e dipendenza	1	1
0.7346	0.3333	dense+lexical	drop	memoria_e_identita	memoria_e_somiglianza	Memoria e identità	Memoria e somiglianza	1	1
0.7345	0.3333	dense+lexical	drop	immortalita_e_morte	morte_e_potere	Immortalità e morte	Morte e potere	1	1
0.7344		dense	drop	magia_e_occulto	magia_e_pratiche_proibite	Magia e occulto	Magia e pratiche proibite	1	1
0.7341		dense	drop	memoria_e_lutto	memoria_e_presenza_dei_morti	Memoria e lutto	Memoria e presenza dei morti	1	1
0.7333		dense	drop	diritto_e_riforma	governo_e_giustizia	Diritto e riforma	Governo e giustizia	1	1
0.7331	0.5000	dense+lexical	drop	potere	volonta_di_potere	Il potere	Volontà di potere	1	1
0.7319	0.3333	dense+lexical	drop	identita_composita	identita_persistente	Identità composita	Identità persistente	1	1
0.7318	0.3333	dense+lexical	drop	successione_adottiva	successione_imperiale	Successione adottiva	Successione imperiale	1	12
0.7318	0.5000	dense+lexical	drop	grecia_vs_roma	sintesi_di_grecia_e_roma	Grecia e Roma	Sintesi di Grecia e Roma	1	1
0.7317	0.3333	dense+lexical	drop	conformismo_e_identita	memoria_e_identita	Conformismo e identità	Memoria e identità	1	1
0.7314	0.3333	dense+lexical	drop	immortalita_e_morte	morte_e_aldila	Immortalità e morte	Morte e aldilà	1	2
0.7314		dense	drop	architettura_come_collaborazione_col_tempo	tempo_e_vecchiaia	Architettura e tempo	Tempo e vecchiaia	1	1
0.7312		dense	drop	guerra_e_violenza	potere_e_violenza_politica	Guerra e violenza	Potere e violenza politica	1	1
0.7297	0.3333	dense+lexical	drop	amore_eroico	amore_umano	Amore eroico	Amore umano	3	1
0.7282	0.3333	dense+lexical	drop	morte_e_dissoluzione	morte_e_putrefazione	Morte e dissoluzione	Morte e putrefazione	1	1
0.7279	0.3333	dense+lexical	drop	pace_e_guerra	politica_di_pace	Pace e guerra	Politica di pace	1	1
0.7278		dense	drop	accettazione_dell_agonia	accettazione_di_se_stessi	Accettazione dell'agonia	Accettazione di sé	1	1
0.7274		dense	drop	amore_e_potere	potere_e_violenza_politica	Amore e potere	Potere e violenza politica	1	1
0.7260		dense	drop	divinita_umana	incarnazione_del_divino	Divinità umana	Incarnazione del divino	1	1
0.7255	0.3333	dense+lexical	drop	solitudine_del_rispetto	solitudine_e_ritiro	Solitudine del rispetto	Solitudine e ritiro	1	1
0.7248	0.3333	dense+lexical	drop	identita_e_oblio_di_se	liberta_e_identita	Identità e oblio di sé	Libertà e identità	1	1
0.7246	0.3333	dense+lexical	drop	castita_e_piacere	piacere_e_distrazione	Castità e piacere	Piacere e distrazione	1	1
0.7242	0.3333	dense+lexical	drop	pace_e_commercio	politica_di_pace	Pace e commercio	Politica di pace	1	1
0.7237	0.3333	dense+lexical	drop	amore_e_colpa	amore_e_perdita	Amore e colpa	Amore e perdita	1	1
0.7236		dense	drop	potere_e_precarietà	potere_e_violenza_politica	Potere e precarietà	Potere e violenza politica	1	1
0.7235	0.3333	dense+lexical	drop	conformismo_e_identita	identita_e_autoconoscenza	Conformismo e identità	Identità e autoconoscenza	1	1
0.7227		dense	drop	potere_e_moderazione	potere_e_percezione_pubblica	Potere e moderazione	Potere e percezione pubblica	1	1
0.7217		dense	drop	guerra_e_politica	potere_e_violenza_politica	Guerra e politica	Potere e violenza politica	1	1
0.7216	0.5000	dense+lexical	drop	corpo	corpo_e_anima	Il corpo	Corpo e anima	1	1
0.7214	0.3333	dense+lexical	drop	immortalita_e_morte	morte_e_putrefazione	Immortalità e morte	Morte e putrefazione	1	1
0.7210		dense	drop	lutto_per_plotina	memoria_e_lutto	Lutto e intimità spirituale	Memoria e lutto	1	1
0.7201	0.3333	dense+lexical	drop	amore_e_potere	volonta_di_potere	Amore e potere	Volontà di potere	1	1
0.7198	0.3333	dense+lexical	drop	amore_e_potere	morte_e_potere	Amore e potere	Morte e potere	1	1
0.7198	0.5000	dense+lexical	drop	bellezza	bellezza_e_arte	Bellezza	Bellezza e arte	7	1
0.7196	0.3333	dense+lexical	drop	identita_e_oblio_di_se	memoria_e_oblio	Identità e oblio di sé	Memoria e oblio	1	1
0.7186	0.3333	dense+lexical	drop	formazione_e_identita	identita_e_oblio_di_se	Formazione e identità	Identità e oblio di sé	1	1
0.7180		dense	drop	memoria_e_confronto_con_i_morti	memoria_e_somiglianza	Memoria e confronto con i morti	Memoria e somiglianza	1	1
0.7175		dense	drop	limiti_del_potere	scrittura_e_limiti_del_linguaggio	Limiti del potere	Scrittura e limiti del linguaggio	1	1
0.7172	0.3333	dense+lexical	drop	lutto_anticipato	lutto_per_antinoo	Lutto anticipato	Il lutto	1	9
0.7172	0.3333	dense+lexical	drop	lutto_anticipato	lutto_per_antinoo__theme	Lutto anticipato	Il lutto	1	9
0.7172		dense	drop	inadeguatezza_del_linguaggio_della_morte	inadeguatezza_del_sacrificio_cosmico	Inadeguatezza del linguaggio della morte	Inadeguatezza del sacrificio	2	1
0.7172	0.3333	dense+lexical	drop	memoria_e_lutto	memoria_e_somiglianza	Memoria e lutto	Memoria e somiglianza	1	1
0.7167	0.3333	dense+lexical	drop	guerra_e_sperpero	guerra_e_violenza	Guerra e sperpero	Guerra e violenza	1	1
0.7163		dense	drop	limiti_del_potere	potere_e_violenza_politica	Limiti del potere	Potere e violenza politica	1	1
0.7153		dense	drop	amore_e_volutta	volonta_di_potere	Amore e voluttà	Volontà di potere	1	1
0.7149	0.3333	dense+lexical	drop	amicizia_intellettuale	vita_intellettuale	Amicizia intellettuale	Vita intellettuale	1	1
0.7147	0.3333	dense+lexical	drop	amore_e_dipendenza	amore_e_perdita	Amore e dipendenza	Amore e perdita	1	1
0.7143	0.3333	dense+lexical	drop	cultura_e_memoria	memoria_e_somiglianza	Cultura e memoria	Memoria e somiglianza	1	1
0.7139	0.3333	dense+lexical	drop	potere_e_moderazione	provvidenza_e_potere	Potere e moderazione	Provvidenza e potere	1	1
0.7137		dense	drop	memoria_e_identita	memoria_e_tempo_soggettivo	Memoria e identità	Memoria e tempo soggettivo	1	1
0.7135	0.5000	dense+lexical	drop	potere	sete_di_potere	Il potere	Sete di potere	1	1
0.7132	0.3333	dense+lexical	drop	scetticismo_religioso	sincretismo_religioso	Scetticismo religioso	Sincretismo religioso	1	2
0.7126		dense	drop	bonta	bonta_ferma_verso_schiavi_e_barbari	La bontà	Bontà e governo degli ultimi	1	1
0.7121		dense	drop	potere_e_percezione_pubblica	provvidenza_e_potere	Potere e percezione pubblica	Provvidenza e potere	1	1
0.7110		dense	drop	memoria_e_confronto_con_i_morti	memoria_e_oblio	Memoria e confronto con i morti	Memoria e oblio	1	1
0.7107		dense	drop	amore_e_incontro	contatto_e_conoscenza	Amore e incontro	Contatto e conoscenza	1	1
0.7104		dense	drop	magia_e_morte_rituale	magia_e_occulto	Magia e morte rituale	Magia e occulto	1	1
0.7095		dense	drop	potere_e_moderazione	potere_e_violenza_politica	Potere e moderazione	Potere e violenza politica	1	1
0.7095		dense	drop	potere_e_ruolo_istituzionale	potere_e_successione	Potere e ruolo istituzionale	Potere e successione	1	1
0.7094	0.3333	dense+lexical	drop	amore_e_incontro	amore_e_volutta	Amore e incontro	Amore e voluttà	1	1
0.7093		dense	drop	misteri_dell_oriente	morte_e_risurrezione	Misteri dell'Oriente	Morte e risurrezione	1	1
0.7093		dense	drop	identita_e_oblio_di_se	lusso_e_perdita_dell_identita	Identità e oblio di sé	Lusso e perdita dell'identità	1	1
0.7091	0.3333	dense+lexical	drop	amore_e_incontro	amore_e_perdita	Amore e incontro	Amore e perdita	1	1
0.7089	0.5000	dense+lexical	drop	crimini_di_roma_in_grecia	grecia_vs_roma	Crimini di Roma in Grecia	Grecia e Roma	1	1
0.7085	0.5000	dense+lexical	drop	immortalita_e_morte	morte	Immortalità e morte	La morte	1	11
0.7083	0.3333	dense+lexical	drop	divinita_umana	natura_umana	Divinità umana	Natura umana	1	1
0.7082	0.3333	dense+lexical	drop	immortalita_di_roma	immortalita_e_morte	Immortalità di Roma	Immortalità e morte	1	1
0.7081		dense	drop	burocrazia	potere_e_ruolo_istituzionale	Burocrazia e delega del potere	Potere e ruolo istituzionale	1	1
0.7077	0.3333	dense+lexical	drop	astinenza_e_liberta	liberta_di_assentire	Astinenza e libertà	Libertà di assentire	1	1
0.7075	0.5000	dense+lexical	drop	accettazione_dell_agonia	inesprimibilita_dell_agonia	Accettazione dell'agonia	Inesprimibilità dell'agonia	1	1
0.7072		dense	drop	memoria_e_oblio	memoria_e_presenza_dei_morti	Memoria e oblio	Memoria e presenza dei morti	1	1
0.7071	0.3333	dense+lexical	drop	morte_e_potere	provvidenza_e_potere	Morte e potere	Provvidenza e potere	1	1
0.7070	0.3333	dense+lexical	drop	potere_e_successione	successione_imperiale	Potere e successione	Successione imperiale	1	12
0.7062		dense	drop	autoconoscenza_prima_della_morte	immortalita_e_morte	Autoconoscenza e morte	Immortalità e morte	1	1
0.7062		dense	drop	autoconoscenza_prima_della_morte	suicidio	Autoconoscenza e morte	Il suicidio	1	1
0.7061	0.5000	dense+lexical	drop	potere	potere_e_moderazione	Il potere	Potere e moderazione	1	1
0.7050	0.3333	dense+lexical	drop	memoria_e_infanzia	memoria_e_oblio	Memoria e infanzia	Memoria e oblio	1	1
0.7048	0.3333	dense+lexical	drop	morte_e_aldila	morte_e_potere	Morte e aldilà	Morte e potere	2	1
0.7044	0.3333	dense+lexical	drop	diritto_e_giustizia	diritto_e_usanza	Diritto e giustizia	Diritto e usanza	1	1
0.7043		dense	drop	potere_e_percezione_pubblica	potere_e_precarietà	Potere e percezione pubblica	Potere e precarietà	1	1
0.7039	0.3333	dense+lexical	drop	amore_e_potere	provvidenza_e_potere	Amore e potere	Provvidenza e potere	1	1
0.7038	0.5000	dense+lexical	drop	formazione	formazione_e_identita	Formazione	Formazione e identità	1	1
0.7035	0.3333	dense+lexical	drop	pace_romana	politica_di_pace	La pace romana	Politica di pace	1	1
0.7029		dense	drop	amore_come_gioco_di_ruoli	amore_e_potere	Amore come gioco di ruoli	Amore e potere	1	1
0.7026	0.3333	dense+lexical	drop	amore_e_dipendenza	amore_e_volutta	Amore e dipendenza	Amore e voluttà	1	1
0.7022		dense	drop	potere_e_macchina_militare	provvidenza_e_potere	Potere e macchina militare	Provvidenza e potere	1	1
0.7011		dense	drop	autoconoscenza	autoformazione	Autoconoscenza	Autoformazione	1	1
0.7008		dense	drop	malinconia_e_solitudine	nostalgia_e_malinconia_del_desiderio	Malinconia e solitudine	Nostalgia e malinconia	1	1
0.7008	0.3333	dense+lexical	drop	amore_e_colpa	amore_e_incontro	Amore e colpa	Amore e incontro	1	1
0.7005		dense	drop	culto_di_antinoo__theme	trasfigurazione_di_antinoo	Culto di Antinoo	Trasfigurazione divina di Antinoo	3	1
0.7001	0.5000	dense+lexical	drop	potere_e_successione	successione	Potere e successione	Successione	1	4
0.6998		dense	drop	magia_ancestrale	magia_e_morte_rituale	Magia ancestrale	Magia e morte rituale	1	1
0.6997		dense	drop	potere_e_percezione_pubblica	potere_e_ruolo_istituzionale	Potere e percezione pubblica	Potere e ruolo istituzionale	1	1
0.6997	0.3333	dense+lexical	drop	amore_e_incontro	amore_e_potere	Amore e incontro	Amore e potere	1	1
0.6991		dense	drop	coraggio	potere	Il coraggio	Il potere	1	1
0.6990		dense	drop	memoria_e_oblio	memoria_e_tempo_soggettivo	Memoria e oblio	Memoria e tempo soggettivo	1	1
0.6990		dense	drop	potere_e_ruolo_istituzionale	potere_e_violenza_politica	Potere e ruolo istituzionale	Potere e violenza politica	1	1
0.6989	0.3333	dense+lexical	drop	guerra_e_politica	politica_di_pace	Guerra e politica	Politica di pace	1	1
0.6984		dense	drop	divinizzazione_dell_imperatore	incarnazione_del_divino	Divinizzazione dell'imperatore	Incarnazione del divino	1	1
0.6984		dense	drop	divinizzazione_di_adriano	incarnazione_del_divino	Divinizzazione dell'imperatore	Incarnazione del divino	1	1
